"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1968","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1969","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1970","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1971","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1972","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1973","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1974","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1975","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1976","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1977","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1978","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1979","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1980","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1981","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1982","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1983","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1984","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1985","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1986","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1987","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1988","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1989","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1990","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1991","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","4585800","","","","0"
"1992","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","3137900","","","","0"
"1993","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","3358400","","","","0"
"1994","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","4634800","","","","0"
"1995","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","4648400","","","","0"
"1996","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","4626600","","","","0"
"1997","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","4351700","","","","0"
"1998","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","6041900","","","","0"
"1999","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","4340900","","","","0"
"2000","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","5708500","","","","0"
"2001","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","3049500","","","","0"
"2002","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","3876900","","","","0"
"2003","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","4211600","","","","0"
"2004","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","4801400","","","","0"
"2005","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","5914600","","","","0"
"2006","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","3346200","","","","0"
"2007","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","3681400","","","","0"
"2008","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","5519300","","","","0"
"2009","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","5399600","","","","0"
"2010","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","3024700","","","","0"
"2011","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","4172100","","","","0"
"2012","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","4626600","","","","0"
"2013","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","6504500","","","","0"
"2014","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","5192700","","","","0"
"2015","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","5388700","","","","0"
"2016","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","7761800","","","","0"
"2017","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","4962200","","","","0"
"2018","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","5784800","","","","0"
"2019","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","5017000","","","","0"
"2020","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","6571200","","","","0"
"2021","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","3032490","","","","0"
"2022","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","5790370","","r","","0"
"2023","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","4246938","","r","","0"
"2024","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","6380314","","r","","0"
"2025","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","6077977","","","","0"
"1908","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","2630250","","","","0"
"1909","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","4154850","","","","0"
"1910","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","3109200","","","","0"
"1911","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","5817500","","","","0"
"1912","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","5688350","","","","0"
"1913","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","5824250","","","","0"
"1914","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","3963200","","","","0"
"1915","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","9961050","","","","0"
"1916","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","6702950","","","","0"
"1917","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","5976900","","","","0"
"1918","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","4953600","","","","0"
"1919","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","4849700","","","","0"
"1920","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","6659350","","","","0"
"1921","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","7817050","","","","0"
"1922","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","10395150","","","","0"
"1923","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","12453350","","","","0"
"1924","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","6550200","","","","0"
"1925","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","10142900","","","","0"
"1926","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","10510950","","","","0"
"1927","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","12525850","","","","0"
"1928","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","14967950","","","","0"
"1929","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","7739050","","","","0"
"1930","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","10958000","","","","0"
"1931","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","8331350","","","","0"
"1932","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","11648550","","","","0"
"1933","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","7290150","","","","0"
"1934","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","7324950","","","","0"
"1935","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","7330600","","","","0"
"1936","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","5626950","","","","0"
"1937","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","4395500","","","","0"
"1938","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","9258150","","","","0"
"1939","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","13563400","","","","0"
"1940","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","14099800","","","","0"
"1941","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","8053850","","","","0"
"1942","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","14322600","","","","0"
"1943","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","7189450","","","","0"
"1944","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","10502450","","","","0"
"1945","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","7951550","","","","0"
"1946","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","10512950","","","","0"
"1947","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","8432550","","","","0"
"1948","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","9254750","","","","0"
"1949","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","9001000","","","","0"
"1950","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","11508650","","","","0"
"1951","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","14173600","","","","0"
"1952","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","18262400","","","","0"
"1953","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","16295300","","","","0"
"1954","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","8198200","","","","0"
"1955","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","13115200","","","","0"
"1956","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","13973500","","","","0"
"1957","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","8954000","","","","0"
"1958","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","9751300","","","","0"
"1959","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","11365150","","","","0"
"1960","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","13134400","","","","0"
"1961","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","6774950","","","","0"
"1962","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","13176450","","","","0"
"1963","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","17849650","","","","0"
"1964","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","14978800","","","","0"
"1965","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","16879950","","","","0"
"1966","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","21330850","","","","0"
"1967","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","15166450","","","","0"
"1968","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","16048400","","","","0"
"1969","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","15618950","","","","0"
"1970","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","6398050","","","","0"
"1971","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","12504900","","","","0"
"1972","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","12082450","","","","0"
"1973","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","14348350","","","","0"
"1974","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","11222300","","","","0"
"1975","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","13934600","","","","0"
"1976","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","19761674","","","","0"
"1977","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","17493700","","","","0"
"1978","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","17474600","","","","0"
"1979","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","14532300","","","","0"
"1980","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","16368400","","","","0"
"1981","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","20750200","","","","0"
"1982","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","22939750","","","","0"
"1983","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","22631100","","","","0"
"1984","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","17786600","","","","0"
"1985","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","20519300","","","","0"
"1986","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","25494100","","","","0"
"1987","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","20687200","","","","0"
"1988","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","12622500","","","","0"
"1989","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","19381600","","","","0"
"1990","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","26245400","","","","0"
"1991","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","26603400","","","","0"
"1992","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","25360400","","","","0"
"1993","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","23100000","","","","0"
"1994","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","16944400","","","","0"
"1995","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","18847100","","","","0"
"1996","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","24146900","","","","0"
"1997","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","19032400","","","","0"
"1998","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","16564600","","","","0"
"1999","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","20900800","","","","0"
"2000","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","19027000","","","","0"
"2001","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","16010200","","","","0"
"2002","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","10531200","","","","0"
"2003","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","16124700","","","","0"
"2004","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","17530300","","","","0"
"2005","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","17803300","","","","0"
"2006","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","18617300","","","","0"
"2007","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","13805300","","","","0"
"2008","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","18347700","","","","0"
"2009","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","18472800","","","","0"
"2010","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","17529300","","","","0"
"2011","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","18018600","","","","0"
"2012","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","18845400","","","","0"
"2013","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","27238700","","","","0"
"2014","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","21296300","","","","0"
"2015","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","19962300","","","","0"
"2016","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","20705200","","","","0"
"2017","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","22559735","","","","0"
"2018","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","24053200","","","","0"
"2019","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","25952300","","","","0"
"2020","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","26092100","","","","0"
"2021","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","16161901","","","","0"
"2022","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","26235609","","r","","0"
"2023","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","25824904","","r","","0"
"2024","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","26515162","","r","","0"
"2025","Canada","2021A000011124","Production (metric tonnes)","Wheat, spring","Metric tonnes","214","units","0","v114995750","1.19.2","25992003","","","","0"
"1908","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","430000","","","","0"
"1909","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","383000","","","","0"
"1910","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","486000","","","","0"
"1911","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","476000","","","","0"
"1912","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","413000","","","","0"
"1913","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","481000","","","","0"
"1914","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","426000","","","","0"
"1915","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","750000","","","","0"
"1916","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","448000","","","","0"
"1917","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","384000","","","","0"
"1918","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","192000","","","","0"
"1919","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","410000","","","","0"
"1920","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","503000","","","","0"
"1921","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","372000","","","","0"
"1922","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","484000","","","","0"
"1923","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","452000","","","","0"
"1924","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","582000","","","","0"
"1925","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","620000","","","","0"
"1926","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","570000","","","","0"
"1927","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","529000","","","","0"
"1928","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","456000","","","","0"
"1929","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","485000","","","","0"
"1930","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","491000","","","","0"
"1931","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","414000","","","","0"
"1932","Canada","2021A000011124","Production (metric tonnes)","Wheat, winter remaining","Metric tonnes","214","units","0","v114995756","1.19.3","410000","","","","0"
